Name,Year,Votes,NumBallots,p,YoB,PosSummary,position,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,all.star,drugs,rookie,gold.gloves,mvp,cy.young
Ken Boyer,1993,69,423,0.163120567,14,*5836,3B,86,36,15,58.7,43.9,51.3,53.4,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,5,1,0
Minnie Minoso,1993,67,423,0.158392435,9,*7598/3D6,LF,87,35,17,47.5,38,42.7,50.7,1835,6579,1136,1963,186,1023,205,814,0.298,0.389,0.459,0.848,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,3,0,0
Joe Torre,1993,63,423,0.14893617,11,*2*3*5/7,C,96,40,18,54.2,35.2,44.7,40.7,2209,7874,996,2342,252,1185,23,779,0.297,0.365,0.452,0.817,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,1,1,0
Luis Tiant,1993,62,423,0.146572104,6,*1,P,97,41,19,62.3,42.1,52.2,57.9,573,513,36,84,5,44,1,13,0.164,0.185,0.224,0.409,17,229,172,3.3,114,1.199,573,484,15,3486.1,3075,346,1104,2416,3,0,0,0,0,0
Bobby Bonds,1993,45,423,0.106382979,7,*98D7,RF,66,36,14,55.7,40,47.8,55.4,1849,7043,1258,1886,332,1024,461,914,0.268,0.353,0.471,0.824,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,0,0
Mickey Lolich,1993,43,423,0.101654846,9,*1,P,98,37,16,44,35.7,39.9,57.9,592,821,63,90,0,31,1,105,0.11,0.215,0.121,0.335,-2,217,191,3.44,104,1.227,586,496,11,3638.1,3366,347,1099,2832,3,0,0,0,0,0
Thurman Munson,1993,40,423,0.094562648,13,*2D/9375,C,90,29,11,43.3,35.1,39.2,40.7,1423,5344,696,1558,113,701,48,438,0.292,0.346,0.41,0.756,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,1,3,1,0
Vada Pinson,1993,38,423,0.089834515,12,*8*97/3D,CF,95,36,18,50.2,38.1,44.1,54.8,2469,9645,1366,2757,256,1170,305,574,0.286,0.327,0.442,0.769,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,0,0
Vida Blue,1993,37,423,0.087470449,2,*1,P,114,35,17,41.6,36.5,39.1,57.9,508,512,37,53,4,15,0,49,0.104,0.186,0.145,0.33,-4,209,161,3.27,108,1.233,502,473,2,3343.1,2939,263,1185,2175,6,0,0,0,1,1
Curt Flood,1993,36,423,0.085106383,12,*8/5749,CF,59,16,15,39.8,31.5,35.6,54.8,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,7,0,0
Rusty Staub,1993,32,423,0.075650118,3,*9*D*37/8,RF,59,38,23,41.6,31.6,36.6,55.4,2951,9720,1189,2716,292,1466,47,1255,0.279,0.362,0.431,0.793,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0
George Foster,1993,29,423,0.06855792,2,*789/D3,LF,92,27,18,41.3,35.5,38.4,50.7,1977,7023,986,1925,348,1239,51,666,0.274,0.338,0.48,0.818,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,1,0
Bill Madlock,1993,19,423,0.044917258,1,*54D3,3B,69,31,15,35.1,27,31,53.4,1806,6594,920,2008,163,860,174,605,0.305,0.365,0.442,0.807,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0
Ron Cey,1993,8,423,0.01891253,1,*5D/3,3B,36,29,17,50.4,35.5,42.9,53.4,2073,7162,977,1868,316,1139,24,1012,0.261,0.354,0.445,0.799,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0
Doug DeCinces,1993,2,423,0.004728132,1,*54/D367,3B,12,20,15,38.6,29.6,34.1,53.4,1649,5809,778,1505,237,879,58,618,0.259,0.329,0.445,0.774,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
Davey Lopes,1993,2,423,0.004728132,1,*48795/D6,2B,33,26,16,40.3,29.2,34.8,54.4,1812,6354,1023,1671,155,614,557,833,0.263,0.349,0.388,0.737,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,1,0,0
Andre Thornton,1993,2,423,0.004728132,1,*D*3/95,DH,18,19,14,22,22,22,51.5,1565,5291,792,1342,253,895,48,876,0.254,0.36,0.452,0.811,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0
Bill Campbell,1993,1,423,0.002364066,1,*1,P,31,11,15,11.4,12.6,12,32.3,700,26,2,4,0,2,0,4,0.154,0.267,0.154,0.421,19,83,68,3.54,111,1.329,700,9,126,1229.1,1139,82,495,864,1,0,0,0,0,0
Gary Matthews,1993,0,423,0,1,*7*9D,LF,20,29,16,27.3,20.9,24.1,50.7,2033,7147,1083,2011,234,978,183,940,0.281,0.364,0.439,0.802,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0
Hal McRae,1993,0,423,0,1,*D*798/54,DH,49,24,19,24.7,22.4,23.6,50.7,2084,7218,940,2091,191,1097,109,648,0.29,0.351,0.454,0.805,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0
Darrell Porter,1993,0,423,0,1,*2D/3,C,63,31,17,37.8,27.4,32.6,40.7,1782,5539,765,1369,188,826,39,905,0.247,0.354,0.409,0.763,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0
Cecil Cooper,1993,0,423,0,1,*3*D,1B,96,28,17,32.6,28.3,30.4,51.5,1896,7349,1012,2192,241,1125,89,448,0.298,0.337,0.466,0.803,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,2,0,0
Rick Burleson,1993,0,423,0,1,*64D/5,SS,20,17,13,21,19.7,20.4,52.1,1346,5139,656,1401,50,449,72,420,0.273,0.328,0.361,0.689,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,1,0,0
Tom Seaver,1992,425,430,0.988372093,1,*1,P,244,66,20,105.3,55.6,80.5,57.9,677,1315,99,202,12,86,4,108,0.154,0.219,0.21,0.429,22,311,205,2.86,127,1.121,656,647,1,4783,3971,380,1390,3640,12,0,1,0,0,3
Rollie Fingers,1992,349,430,0.811627907,2,*1,P,140,18,17,24,18.3,21.1,32.3,945,180,10,31,2,9,0,3,0.172,0.186,0.222,0.408,16,114,118,2.9,120,1.156,944,37,341,1701.1,1474,123,492,1299,7,0,0,0,1,1
Orlando Cepeda,1992,246,430,0.572093023,13,*37D/95,1B,126,37,17,46.1,32.2,39.2,51.5,2124,7927,1131,2351,379,1365,142,588,0.297,0.35,0.499,0.849,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,1,0,1,0
Tony Perez,1992,215,430,0.5,1,*3*5D/4,1B,81,41,23,50.1,35,42.6,51.5,2777,9778,1272,2732,379,1652,49,925,0.279,0.341,0.463,0.804,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0
Bill Mazeroski,1992,182,430,0.423255814,15,*4/5,2B,71,16,17,32.3,23.9,28.1,54.4,2163,7755,769,2016,138,853,27,447,0.26,0.299,0.367,0.667,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,8,0,0
Tony Oliva,1992,175,430,0.406976744,11,*9*D8/7,RF,114,29,15,39.7,36.5,38.1,55.4,1676,6301,870,1917,220,947,86,448,0.304,0.353,0.476,0.83,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1,1,0,0
Ron Santo,1992,136,430,0.31627907,9,*5D4/673,3B,88,41,15,66.6,52.1,59.4,53.4,2243,8143,1138,2254,342,1331,35,1108,0.277,0.362,0.464,0.826,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,5,0,0
Jim Kaat,1992,114,430,0.265116279,4,*1/D,P,130,44,25,46.3,36.3,41.3,57.9,1004,1251,117,232,16,106,5,63,0.185,0.227,0.267,0.494,37,283,237,3.45,108,1.259,898,625,18,4530.1,4620,395,1083,2461,3,0,0,16,0,0
Maury Wills,1992,110,430,0.255813953,15,*6*5/4,SS,104,29,14,37.5,28.8,33.2,52.1,1942,7588,1067,2134,20,458,586,552,0.281,0.33,0.331,0.661,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,2,1,0
Ken Boyer,1992,71,430,0.165116279,13,*5836,3B,86,36,15,58.7,43.9,51.3,53.4,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,5,1,0
Dick Allen,1992,69,430,0.160465116,9,*3*57/4D68,1B,99,39,15,55.6,43.8,49.7,53.4,1749,6332,1099,1848,351,1119,133,894,0.292,0.378,0.534,0.912,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0
Minnie Minoso,1992,69,430,0.160465116,8,*7598/3D6,LF,87,35,17,47.5,38,42.7,50.7,1835,6579,1136,1963,186,1023,205,814,0.298,0.389,0.459,0.848,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,3,0,0
Joe Torre,1992,62,430,0.144186047,10,*2*3*5/7,C,96,40,18,54.2,35.2,44.7,40.7,2209,7874,996,2342,252,1185,23,779,0.297,0.365,0.452,0.817,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,1,1,0
Luis Tiant,1992,50,430,0.11627907,5,*1,P,97,41,19,62.3,42.1,52.2,57.9,573,513,36,84,5,44,1,13,0.164,0.185,0.224,0.409,17,229,172,3.3,114,1.199,573,484,15,3486.1,3075,346,1104,2416,3,0,0,0,0,0
Mickey Lolich,1992,45,430,0.104651163,8,*1,P,98,37,16,44,35.7,39.9,57.9,592,821,63,90,0,31,1,105,0.11,0.215,0.121,0.335,-2,217,191,3.44,104,1.227,586,496,11,3638.1,3366,347,1099,2832,3,0,0,0,0,0
Curt Flood,1992,42,430,0.097674419,11,*8/5749,CF,59,16,15,39.8,31.5,35.6,54.8,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,7,0,0
Bobby Bonds,1992,40,430,0.093023256,6,*98D7,RF,66,36,14,55.7,40,47.8,55.4,1849,7043,1258,1886,332,1024,461,914,0.268,0.353,0.471,0.824,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,0,0
Vada Pinson,1992,36,430,0.08372093,11,*8*97/3D,CF,95,36,18,50.2,38.1,44.1,54.8,2469,9645,1366,2757,256,1170,305,574,0.286,0.327,0.442,0.769,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,0,0
Thurman Munson,1992,32,430,0.074418605,12,*2D/9375,C,90,29,11,43.3,35.1,39.2,40.7,1423,5344,696,1558,113,701,48,438,0.292,0.346,0.41,0.756,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,1,3,1,0
Rusty Staub,1992,26,430,0.060465116,2,*9*D*37/8,RF,59,38,23,41.6,31.6,36.6,55.4,2951,9720,1189,2716,292,1466,47,1255,0.279,0.362,0.431,0.793,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0
George Foster,1992,24,430,0.055813953,1,*789/D3,LF,92,27,18,41.3,35.5,38.4,50.7,1977,7023,986,1925,348,1239,51,666,0.274,0.338,0.48,0.818,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,1,0
Vida Blue,1992,23,430,0.053488372,1,*1,P,114,35,17,41.6,36.5,39.1,57.9,508,512,37,53,4,15,0,49,0.104,0.186,0.145,0.33,-4,209,161,3.27,108,1.233,502,473,2,3343.1,2939,263,1185,2175,6,0,0,0,1,1
Bobby Grich,1992,11,430,0.025581395,1,*4635/D,2B,42,32,17,67.3,44.3,55.8,54.4,2008,6890,1033,1833,224,864,104,1087,0.266,0.371,0.424,0.794,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,4,0,0
Dusty Baker,1992,4,430,0.009302326,1,*7*8*93/D,LF,25,24,19,34.2,24.8,29.5,50.7,2039,7117,964,1981,242,1013,137,762,0.278,0.347,0.432,0.779,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,0,0
Bill Russell,1992,3,430,0.006976744,1,*69847/5,SS,26,15,18,28.6,20.1,24.3,52.1,2181,7318,796,1926,46,627,167,483,0.263,0.31,0.338,0.648,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0
Dave Kingman,1992,3,430,0.006976744,1,*3*7*D59/1,1B,49,23,16,14.8,14.9,14.9,50.7,1941,6677,901,1575,442,1210,85,608,0.236,0.302,0.478,0.78,115,0,0,9,47,2.25,2,0,0,4,3,0,6,4,3,0,0,0,0,0
Steve Yeager,1992,2,430,0.004651163,1,*2,C,32,23,15,16.6,14,15.3,40.7,1269,3584,357,816,102,410,14,342,0.228,0.298,0.355,0.653,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Cesar Cedeno,1992,2,430,0.004651163,1,*8397,CF,42,28,17,49.7,40.1,44.9,54.8,2006,7310,1084,2087,199,976,550,664,0.285,0.347,0.443,0.79,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,5,0,0
Dennis Leonard,1992,1,430,0.002325581,1,*1/D,P,39,21,12,23.3,22,22.7,57.9,313,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,144,106,3.7,107,1.262,312,302,1,2187,2137,202,622,1323,0,0,0,0,0,0
Toby Harrah,1992,1,430,0.002325581,1,*5*64/D9,3B,20,33,17,47.6,33.4,40.5,53.4,2155,7402,1115,1954,195,918,238,1153,0.264,0.365,0.395,0.76,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0
Ben Oglivie,1992,0,430,0,1,*7*9D3/8,LF,32,18,16,23.4,21.8,22.6,50.7,1754,5913,784,1615,235,901,87,560,0.273,0.336,0.45,0.786,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0
Ken Forsch,1992,0,430,0,1,*1,P,12,14,16,23.6,19.7,21.6,57.9,521,383,16,52,0,17,1,16,0.136,0.17,0.151,0.322,-7,114,113,3.37,106,1.249,521,241,51,2127.1,2071,155,586,1047,2,0,0,0,0,0
Garry Maddox,1992,0,430,0,1,*8/79,CF,25,16,15,34.4,29.1,31.8,54.8,1749,6331,777,1802,117,754,248,323,0.285,0.32,0.413,0.733,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,8,0,0
Gorman Thomas,1992,0,430,0,1,*8D97/35,CF,35,16,13,17.2,19.8,18.5,54.8,1435,4677,681,1051,268,782,50,697,0.225,0.324,0.448,0.772,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
John Denny,1992,0,430,0,1,*1,P,25,13,13,30,28.2,29.1,57.9,326,570,44,97,0,29,9,19,0.17,0.197,0.193,0.39,8,123,108,3.59,105,1.336,325,322,0,2148.2,2093,137,778,1146,0,0,0,0,0,1
Pete Vuckovich,1992,0,430,0,1,1,P,24,12,11,14.5,15.5,15,57.9,286,208,15,33,0,13,1,3,0.159,0.169,0.192,0.361,-1,93,69,3.66,104,1.374,286,186,10,1455.1,1454,107,545,882,0,0,0,0,0,1
Rod Carew,1991,401,443,0.905191874,1,*3*4D/657,1B,242,55,19,76.6,47.6,62.1,54.4,2469,9315,1424,3053,92,1015,353,1018,0.328,0.393,0.429,0.822,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,1,0,1,0
Gaylord Perry,1991,342,443,0.772009029,3,*1,P,177,57,22,84.5,49.6,67,57.9,787,1076,48,141,6,47,0,22,0.131,0.153,0.164,0.316,-10,314,265,3.11,117,1.181,777,690,11,5350,4938,399,1379,3534,5,0,0,0,0,2
Fergie Jenkins,1991,334,443,0.753950339,3,*1,P,132,53,19,79.4,49.1,64.3,57.9,665,896,54,148,13,85,0,41,0.165,0.2,0.252,0.452,23,284,226,3.34,115,1.142,664,594,7,4500.2,4142,484,997,3192,3,0,0,0,0,0
Rollie Fingers,1991,291,443,0.656884876,1,*1,P,140,18,17,24,18.3,21.1,32.3,945,180,10,31,2,9,0,3,0.172,0.186,0.222,0.408,16,114,118,2.9,120,1.156,944,37,341,1701.1,1474,123,492,1299,7,0,0,0,1,1
Jim Bunning,1991,282,443,0.636568849,15,*1,P,98,42,17,55.8,47,51.4,57.9,601,1275,82,213,7,75,0,34,0.167,0.188,0.206,0.395,9,224,184,3.27,115,1.179,591,519,16,3760.1,3433,372,1000,2855,7,0,0,0,0,0
Orlando Cepeda,1991,192,443,0.433408578,12,*37D/95,1B,126,37,17,46.1,32.2,39.2,51.5,2124,7927,1131,2351,379,1365,142,588,0.297,0.35,0.499,0.849,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,1,0,1,0
Tony Oliva,1991,160,443,0.361173815,10,*9*D8/7,RF,114,29,15,39.7,36.5,38.1,55.4,1676,6301,870,1917,220,947,86,448,0.304,0.353,0.476,0.83,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1,1,0,0
Bill Mazeroski,1991,142,443,0.320541761,14,*4/5,2B,71,16,17,32.3,23.9,28.1,54.4,2163,7755,769,2016,138,853,27,447,0.26,0.299,0.367,0.667,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,8,0,0
Ron Santo,1991,116,443,0.261851016,8,*5D4/673,3B,88,41,15,66.6,52.1,59.4,53.4,2243,8143,1138,2254,342,1331,35,1108,0.277,0.362,0.464,0.826,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,5,0,0
Harvey Kuenn,1991,100,443,0.225733634,15,*6*7*9853,SS,100,27,15,22.8,20.4,21.6,52.1,1833,6913,951,2092,87,671,68,594,0.303,0.357,0.408,0.765,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1,0,0,0
Jim Kaat,1991,62,443,0.139954853,3,*1/D,P,130,44,25,46.3,36.3,41.3,57.9,1004,1251,117,232,16,106,5,63,0.185,0.227,0.267,0.494,37,283,237,3.45,108,1.259,898,625,18,4530.1,4620,395,1083,2461,3,0,0,16,0,0
Maury Wills,1991,61,443,0.137697517,14,*6*5/4,SS,104,29,14,37.5,28.8,33.2,52.1,1942,7588,1067,2134,20,458,586,552,0.281,0.33,0.331,0.661,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,2,1,0
Dick Allen,1991,59,443,0.133182844,8,*3*57/4D68,1B,99,39,15,55.6,43.8,49.7,53.4,1749,6332,1099,1848,351,1119,133,894,0.292,0.378,0.534,0.912,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0
Ken Boyer,1991,58,443,0.130925508,12,*5836,3B,86,36,15,58.7,43.9,51.3,53.4,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,5,1,0
Joe Torre,1991,41,443,0.09255079,9,*2*3*5/7,C,96,40,18,54.2,35.2,44.7,40.7,2209,7874,996,2342,252,1185,23,779,0.297,0.365,0.452,0.817,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,1,1,0
Bobby Bonds,1991,39,443,0.088036117,5,*98D7,RF,66,36,14,55.7,40,47.8,55.4,1849,7043,1258,1886,332,1024,461,914,0.268,0.353,0.471,0.824,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,0,0
Minnie Minoso,1991,38,443,0.085778781,7,*7598/3D6,LF,87,35,17,47.5,38,42.7,50.7,1835,6579,1136,1963,186,1023,205,814,0.298,0.389,0.459,0.848,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,3,0,0
Mickey Lolich,1991,33,443,0.074492099,7,*1,P,98,37,16,44,35.7,39.9,57.9,592,821,63,90,0,31,1,105,0.11,0.215,0.121,0.335,-2,217,191,3.44,104,1.227,586,496,11,3638.1,3366,347,1099,2832,3,0,0,0,0,0
Luis Tiant,1991,32,443,0.072234763,4,*1,P,97,41,19,62.3,42.1,52.2,57.9,573,513,36,84,5,44,1,13,0.164,0.185,0.224,0.409,17,229,172,3.3,114,1.199,573,484,15,3486.1,3075,346,1104,2416,3,0,0,0,0,0
Vada Pinson,1991,30,443,0.06772009,10,*8*97/3D,CF,95,36,18,50.2,38.1,44.1,54.8,2469,9645,1366,2757,256,1170,305,574,0.286,0.327,0.442,0.769,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,0,0
Thurman Munson,1991,28,443,0.063205418,11,*2D/9375,C,90,29,11,43.3,35.1,39.2,40.7,1423,5344,696,1558,113,701,48,438,0.292,0.346,0.41,0.756,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,1,3,1,0
Rusty Staub,1991,28,443,0.063205418,1,*9*D*37/8,RF,59,38,23,41.6,31.6,36.6,55.4,2951,9720,1189,2716,292,1466,47,1255,0.279,0.362,0.431,0.793,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0
Curt Flood,1991,23,443,0.051918736,10,*8/5749,CF,59,16,15,39.8,31.5,35.6,54.8,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,7,0,0
Al Oliver,1991,19,443,0.042889391,1,*8*3*7D9,CF,116,40,18,40.2,26.6,33.4,54.8,2368,9049,1189,2743,219,1326,84,535,0.303,0.344,0.451,0.795,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0
Sparky Lyle,1991,15,443,0.033860045,4,*1,P,78,18,16,21.8,18.3,20,32.3,899,78,8,15,0,4,1,5,0.192,0.241,0.218,0.459,31,99,76,2.88,128,1.275,899,0,238,1390.1,1292,84,481,873,3,0,0,0,0,1
Larry Bowa,1991,11,443,0.0248307,1,*6/4,SS,70,21,16,20,20.3,20.1,52.1,2247,8418,987,2191,15,525,318,474,0.26,0.3,0.32,0.62,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,2,0,0
Jerry Koosman,1991,4,443,0.009029345,1,*1,P,59,33,19,49.6,34.8,42.2,57.9,612,915,36,109,2,46,1,33,0.119,0.151,0.141,0.292,-17,222,209,3.36,110,1.259,612,527,17,3839.1,3635,290,1198,2556,2,0,0,0,0,0
John Lowenstein,1991,1,443,0.002257336,1,*79D548/36,LF,7,13,16,8.1,11.1,9.6,50.7,1368,3476,510,881,116,441,128,446,0.253,0.337,0.403,0.741,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Jeff Burroughs,1991,1,443,0.002257336,1,*9*7D/3,RF,35,18,16,15,14.7,14.9,55.4,1689,5536,720,1443,240,882,16,831,0.261,0.355,0.439,0.795,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,0
Mike Jorgensen,1991,1,443,0.002257336,1,*3798/D,1B,4,10,17,7.9,9.8,8.8,51.5,1633,3421,429,833,95,426,58,532,0.243,0.347,0.373,0.72,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
Ellis Valentine,1991,1,443,0.002257336,1,*98/7D,RF,5,9,10,15.8,16.3,16,55.4,894,3166,380,881,123,474,59,180,0.278,0.315,0.458,0.773,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0
Mike Hargrove,1991,1,443,0.002257336,1,*37D,1B,14,19,12,27.4,23.1,25.2,51.5,1666,5564,783,1614,80,686,24,965,0.29,0.396,0.391,0.787,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0
Richie Hebner,1991,1,443,0.002257336,1,*5*3D/974,3B,12,19,18,30.8,22.2,26.5,53.4,1908,6144,865,1694,203,890,38,687,0.276,0.352,0.438,0.79,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Burt Hooton,1991,1,443,0.002257336,1,*1,P,41,22,15,33.2,29,31.1,57.9,481,748,42,92,4,49,0,44,0.123,0.173,0.163,0.336,-6,151,136,3.38,108,1.243,480,377,7,2652,2497,193,799,1491,1,0,0,0,0,0
Oscar Gamble,1991,0,443,0,1,*D*978/3,DH,8,17,17,20.5,16.9,18.7,55.4,1584,4502,656,1195,200,666,47,610,0.265,0.356,0.454,0.811,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Bob Bailor,1991,0,443,0,1,964587/D1,RF,2,1,11,7.7,8.2,7.9,52.1,955,2937,339,775,9,222,90,187,0.264,0.31,0.325,0.636,77,0,0,7.71,65,2.143,3,0,0,2.1,4,0,1,0,0,0,0,0,0,0
Larry Gura,1991,0,443,0,1,*1/D,P,25,17,16,19.1,19.3,19.2,57.9,405,33,1,3,0,1,0,2,0.091,0.143,0.091,0.234,-36,126,97,3.76,106,1.28,403,261,14,2047,2020,204,600,801,1,0,0,0,0,0
John Wathan,1991,0,443,0,1,*239/7D,C,2,3,10,3.7,6.6,5.2,40.7,860,2505,305,656,21,261,105,199,0.262,0.318,0.343,0.661,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Bruce Kison,1991,0,443,0,1,*1,P,11,15,15,13.6,12.3,12.9,57.9,388,404,31,66,3,31,2,16,0.163,0.2,0.248,0.448,24,115,88,3.66,102,1.301,380,246,12,1809.2,1693,150,662,1073,0,0,0,0,0,0
Steve Rogers,1991,0,443,0,1,*1,P,48,23,13,42.1,35.2,38.7,57.9,406,881,47,122,0,39,1,61,0.138,0.195,0.152,0.347,-2,158,152,3.17,116,1.232,399,393,2,2837.2,2619,151,876,1621,5,0,0,0,0,0
