Name,Year,Votes,NumBallots,p,YoB,PosSummary,position,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,all.star,drugs,rookie,gold.gloves,mvp,cy.young
Don Mattingly,2009,64,539,0.118738404,9,*3D97/548,1B,134,34,14,39.8,34.4,37.1,51.5,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,9,1,0
Dale Murphy,2009,62,539,0.115027829,11,*8*9372,CF,116,34,18,42.6,39,40.8,54.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,5,2,0
Harold Baines,2009,32,539,0.059369202,3,*D*98/7,DH,66,44,22,34,19.9,26.9,55.4,2830,9908,1299,2866,384,1628,34,1062,0.289,0.356,0.465,0.82,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0
Mark Grace,2009,22,539,0.040816327,1,*3/D1,1B,60,38,16,43,28.4,35.7,51.5,2245,8065,1179,2445,173,1146,70,1075,0.303,0.383,0.442,0.825,119,0,0,9,67,1,1,0,0,1,1,1,0,0,3,0,0,4,0,0
David Cone,2009,21,539,0.038961039,1,*1,P,103,39,17,58.8,38.4,48.6,57.9,451,412,28,64,0,22,0,16,0.155,0.192,0.177,0.369,6,194,126,3.46,121,1.256,450,419,1,2898.2,2504,258,1137,2668,5,0,0,0,0,1
Matt Williams,2009,7,539,0.012987013,1,*56/3D,3B,70,29,17,43.5,32.1,37.8,53.4,1866,7000,997,1878,378,1218,53,469,0.268,0.317,0.489,0.805,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,4,0,0
Mo Vaughn,2009,6,539,0.011131725,1,*3D,1B,86,30,12,24.5,25.3,24.9,51.5,1512,5532,861,1620,328,1064,30,725,0.293,0.383,0.523,0.906,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,0,1,0
Jay Bell,2009,2,539,0.003710575,1,*6*45/3D,SS,30,30,18,34.1,30.1,32.1,52.1,2063,7398,1123,1963,195,860,91,853,0.265,0.343,0.416,0.759,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,0,0
Jesse Orosco,2009,1,539,0.001855288,1,*1/9,P,61,13,24,22.2,17.1,19.6,32.3,1252,59,3,10,0,4,0,8,0.169,0.261,0.169,0.43,23,87,80,3.16,126,1.263,1252,4,144,1295.1,1055,113,581,1179,2,0,0,0,0,0
Ron Gant,2009,0,539,0,1,*7845D/9,LF,44,26,16,31.2,24.9,28.1,50.7,1832,6449,1080,1651,321,1008,243,770,0.256,0.336,0.468,0.803,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0
Greg Vaughn,2009,0,539,0,1,*7*D/89,LF,51,25,15,27.7,25.2,26.5,50.7,1731,6103,1017,1475,355,1072,121,865,0.242,0.337,0.47,0.807,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0
Dan Plesac,2009,0,539,0,1,*1,P,54,8,18,15.9,13.2,14.6,32.3,1064,15,0,1,0,0,0,0,0.067,0.067,0.067,0.133,-65,65,71,3.64,117,1.286,1064,14,158,1072,977,105,402,1041,3,0,0,0,0,0
